Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency,,,,
AMAZON.COM INC,AMZN,023135106,2000019,25.168501,-,33083964.000,USD,,,,
TESLA INC,TSLA,88160R101,B616C79,17.258063,-,12246461.000,USD,,,,
HOME DEPOT INC,HD,437076102,2434209,8.786103,-,4640783.000,USD,,,,
MCDONALD S CORP,MCD,580135101,2550707,4.204316,-,2376679.000,USD,,,,
LOWE S COS INC,LOW,548661107,2536763,3.812015,-,2876143.000,USD,,,,
NIKE INC  CL B,NKE,654106103,2640147,3.811693,-,5672040.000,USD,,,,
STARBUCKS CORP,SBUX,855244109,2842255,3.358960,-,5466429.000,USD,,,,
BOOKING HOLDINGS INC,BKNG,09857L108,BDRXDB4,3.062142,-,184546.000,USD,,,,
TJX COMPANIES INC,TJX,872540109,2989301,2.693889,-,5495958.000,USD,,,,
CHIPOTLE MEXICAN GRILL INC,CMG,169656105,B0X7DZ3,1.667899,-,131391.000,USD,,,,
O REILLY AUTOMOTIVE INC,ORLY,67103H107,B65LWX6,1.643253,-,296524.000,USD,,,,
FORD MOTOR CO,F,345370860,2615468,1.588150,-,18622686.000,USD,,,,
GENERAL MOTORS CO,GM,37045V100,B665KZ5,1.507692,-,6633376.000,USD,,,,
MARRIOTT INTERNATIONAL  CL A,MAR,571903202,2210614,1.423466,-,1279768.000,USD,,,,
AUTOZONE INC,AZO,053332102,2065955,1.291757,-,89242.000,USD,,,,
HILTON WORLDWIDE HOLDINGS IN,HLT,43300A203,BYVMW06,1.134270,-,1267290.000,USD,,,,
YUM  BRANDS INC,YUM,988498101,2098876,1.106837,-,1331787.000,USD,,,,
DR HORTON INC,DHI,23331A109,2250687,1.062761,-,1486249.000,USD,,,,
ROSS STORES INC,ROST,778296103,2746711,1.048326,-,1637982.000,USD,,,,
LENNAR CORP A,LEN,526057104,2511920,0.862649,-,1205867.000,USD,,,,
APTIV PLC,APTV,G6095L109,B783TY6,0.777070,-,1288701.000,USD,,,,
EBAY INC,EBAY,278642103,2293819,0.729846,-,2581134.000,USD,,,,
TRACTOR SUPPLY COMPANY,TSCO,892356106,2900335,0.718172,-,525437.000,USD,,,,
GENUINE PARTS CO,GPC,372460105,2367480,0.645253,-,670484.000,USD,,,,
ULTA BEAUTY INC,ULTA,90384S303,B28TS42,0.630976,-,241969.000,USD,,,,
DARDEN RESTAURANTS INC,DRI,237194105,2289874,0.597180,-,578860.000,USD,,,,
ROYAL CARIBBEAN CRUISES LTD,RCL,V7780T103,2754907,0.596244,-,1044011.000,USD,,,,
LAS VEGAS SANDS CORP,LVS,517834107,B02T2J7,0.573722,-,1563111.000,USD,,,,
NVR INC,NVR,62944T105,2637785,0.520592,-,14375.000,USD,,,,
GARMIN LTD,GRMN,H2906T109,B3Z5T14,0.484856,-,729328.000,USD,,,,
PULTEGROUP INC,PHM,745867101,2708841,0.481912,-,1073019.000,USD,,,,
EXPEDIA GROUP INC,EXPE,30212P303,B748CK2,0.481317,-,703099.000,USD,,,,
BEST BUY CO INC,BBY,086516101,2094670,0.444823,-,936649.000,USD,,,,
LKQ CORP,LKQ,501889208,2971029,0.412742,-,1207292.000,USD,,,,
POOL CORP,POOL,73278L105,2781585,0.394707,-,185686.000,USD,,,,
MGM RESORTS INTERNATIONAL,MGM,552953101,2547419,0.390021,-,1496566.000,USD,,,,
CARNIVAL CORP,CCL,143658300,2523044,0.389740,-,4766511.000,USD,,,,
CARMAX INC,KMX,143130102,2983563,0.373237,-,751646.000,USD,,,,
ETSY INC,ETSY,29786A106,BWTN5N1,0.328539,-,597863.000,USD,,,,
BORGWARNER INC,BWA,099724106,2111955,0.326566,-,1113640.000,USD,,,,
WYNN RESORTS LTD,WYNN,983134107,2963811,0.317829,-,490491.000,USD,,,,
DOMINO S PIZZA INC,DPZ,25754A201,B01SD70,0.314525,-,168442.000,USD,,,,
CAESARS ENTERTAINMENT INC,CZR,12769G100,BMWWGB0,0.311319,-,1020589.000,USD,,,,
TAPESTRY INC,TPR,876030107,BF09HX3,0.302998,-,1122902.000,USD,,,,
BATH + BODY WORKS INC,BBWI,070830104,BNNTGJ5,0.280821,-,1086447.000,USD,,,,
WHIRLPOOL CORP,WHR,963320106,2960384,0.237509,-,259273.000,USD,,,,
HASBRO INC,HAS,418056107,2414580,0.236910,-,617488.000,USD,,,,
NORWEGIAN CRUISE LINE HOLDIN,NCLH,G66721104,B9CGTC3,0.214066,-,2004283.000,USD,,,,
VF CORP,VFC,918204108,2928683,0.193166,-,1571325.000,USD,,,,
STATE STREET INSTITUTIONAL LIQ STATE ST INST LIQ RES PREM,-,964WKM905,-,0.159990,-,25490326.200,USD,,,,
MOHAWK INDUSTRIES INC,MHK,608190104,2598699,0.159306,-,250829.000,USD,,,,
RALPH LAUREN CORP,RL,751212101,B4V9661,0.146041,-,195519.000,USD,,,,
ADVANCE AUTO PARTS INC,AAP,00751Y106,2822019,0.115916,-,281842.000,USD,,,,
NEWELL BRANDS INC,NWL,651229106,2635701,0.100203,-,1790135.000,USD,,,,